NT	PI	CH	T
3 3.152680 5701 0.019619
2 3.141520 5701 0.018477
1 3.141680 5701 0.002903
8 3.145160 5801 0.028976
7 3.143200 5801 0.029390
6 3.139480 5801 0.030442
5 3.138360 5801 0.026308
4 3.137200 5801 0.019366
3 3.148200 5801 0.022150
2 3.138040 5801 0.033542
1 3.140720 5801 0.002845
8 3.149600 5901 0.029072
7 3.132800 5901 0.029153
6 3.140400 5901 0.028859
5 3.142600 5901 0.026626
4 3.148840 5901 0.023292
3 3.141960 5901 0.021954
2 3.149880 5901 0.031298
1 3.147200 5901 0.002917
8 3.140720 6001 0.028696
7 3.135520 6001 0.030772
6 3.139000 6001 0.031018
5 3.137360 6001 0.026443
4 3.133280 6001 0.021370
3 3.137360 6001 0.022411
2 3.139320 6001 0.025557
1 3.141480 6001 0.003329
8 3.131080 6101 0.037667
7 3.140480 6101 0.030196
6 3.140520 6101 0.028570
5 3.145840 6101 0.025468
4 3.137720 6101 0.020838
3 3.151160 6101 0.017782
2 3.133080 6101 0.024150
1 3.142160 6101 0.002922
8 3.141680 6201 0.029279
7 3.149840 6201 0.030319
6 3.135800 6201 0.029627
5 3.136880 6201 0.026358
4 3.133520 6201 0.023072
3 3.143640 6201 0.023045
2 3.137160 6201 0.016378
1 3.140200 6201 0.002805
8 3.145400 6301 0.034516
7 3.142360 6301 0.030336
6 3.152520 6301 0.028619
5 3.135240 6301 0.026063
4 3.144760 6301 0.017906
3 3.148920 6301 0.016749
2 3.140360 6301 0.008151
1 3.135560 6301 0.003139
8 3.139600 6401 0.030472
7 3.136520 6401 0.030019
6 3.144000 6401 0.028205
5 3.144600 6401 0.026086
4 3.136160 6401 0.020448
3 3.141680 6401 0.018724
2 3.146440 6401 0.008333
1 3.140160 6401 0.003066
8 3.144600 6501 0.030331
7 3.136520 6501 0.029731
6 3.138920 6501 0.025598
5 3.145920 6501 0.023310
4 3.135360 6501 0.019901
3 3.137040 6501 0.017326
2 3.137120 6501 0.018867
1 3.143680 6501 0.002845
8 3.155800 6601 0.030410
7 3.138120 6601 0.029723
6 3.134440 6601 0.030029
5 3.152800 6601 0.026525
4 3.137160 6601 0.018323
3 3.139160 6601 0.022152
2 3.139560 6601 0.022476
1 3.129560 6601 0.002843
8 3.132200 6701 0.030459
7 3.139800 6701 0.029751
6 3.138600 6701 0.029256
5 3.145720 6701 0.025546
4 3.135120 6701 0.018852
3 3.147640 6701 0.021834
2 3.139360 6701 0.017542
1 3.142840 6701 0.003092
8 3.140920 6801 0.031167
7 3.137960 6801 0.031595
6 3.141000 6801 0.027148
5 3.141880 6801 0.023478
4 3.138760 6801 0.022292
3 3.137360 6801 0.020858
2 3.137320 6801 0.017556
1 3.142000 6801 0.002860
8 3.139080 6901 0.030565
7 3.139640 6901 0.030910
6 3.138120 6901 0.031281
5 3.137000 6901 0.026498
4 3.143480 6901 0.019761
3 3.152600 6901 0.022962
2 3.147880 6901 0.032802
1 3.134800 6901 0.002806
8 3.146520 7001 0.031190
7 3.147440 7001 0.030879
6 3.133280 7001 0.030621
5 3.143680 7001 0.022984
4 3.144240 7001 0.019663
3 3.144320 7001 0.017006
2 3.141680 7001 0.040798
1 3.135720 7001 0.002872
8 3.152880 7101 0.030433
7 3.147360 7101 0.030784
6 3.134560 7101 0.029877
5 3.145520 7101 0.024358
4 3.132400 7101 0.022094
3 3.135720 7101 0.020012
2 3.143520 7101 0.015075
1 3.140080 7101 0.002935
8 3.141040 7201 0.030710
7 3.144880 7201 0.030379
6 3.146280 7201 0.030484
5 3.143680 7201 0.026619
4 3.144240 7201 0.021465
3 3.145080 7201 0.019912
2 3.138000 7201 0.008195
1 3.139120 7201 0.003188
8 3.139640 7301 0.038900
7 3.139160 7301 0.040207
6 3.125240 7301 0.030233
5 3.150240 7301 0.026572
4 3.147080 7301 0.021184
3 3.135040 7301 0.019514
2 3.140240 7301 0.008138
1 3.147360 7301 0.003239
8 3.142080 7401 0.030517
7 3.141000 7401 0.030119
6 3.135000 7401 0.029669
5 3.152600 7401 0.023874
4 3.150600 7401 0.022068
