NT	PI	CH	T
3 3.139000 7301 0.023779
2 3.140640 7301 0.032019
1 3.142560 7301 0.002921
8 3.144280 7401 0.030373
7 3.140880 7401 0.024716
6 3.146400 7401 0.024931
5 3.138160 7401 0.024140
4 3.140200 7401 0.019132
3 3.138640 7401 0.023778
2 3.135960 7401 0.035214
1 3.143320 7401 0.003111
8 3.141280 7501 0.025059
7 3.142440 7501 0.026016
6 3.139840 7501 0.022837
5 3.139040 7501 0.022828
4 3.135840 7501 0.017873
3 3.133360 7501 0.015614
2 3.149760 7501 0.009248
1 3.149920 7501 0.003309
8 3.148840 7601 0.041111
7 3.148800 7601 0.024299
6 3.134960 7601 0.022897
5 3.138720 7601 0.022865
4 3.137400 7601 0.019521
3 3.137520 7601 0.018701
2 3.135840 7601 0.034211
1 3.147880 7601 0.003049
8 3.138600 7701 0.023639
7 3.144280 7701 0.027802
6 3.132200 7701 0.024800
5 3.142000 7701 0.022494
4 3.141040 7701 0.022021
3 3.135240 7701 0.021252
2 3.144000 7701 0.037427
1 3.140520 7701 0.002934
8 3.140400 7801 0.023819
7 3.137560 7801 0.025125
6 3.144600 7801 0.024088
5 3.145440 7801 0.021008
4 3.129080 7801 0.018687
3 3.137360 7801 0.016494
2 3.142520 7801 0.038083
1 3.138160 7801 0.003094
8 3.144480 7901 0.026557
7 3.145800 7901 0.028781
6 3.144360 7901 0.024285
5 3.139080 7901 0.023193
4 3.141280 7901 0.020934
3 3.136400 7901 0.021269
2 3.147720 7901 0.025865
1 3.142680 7901 0.002929
8 3.139360 8001 0.028139
7 3.146880 8001 0.026153
6 3.146400 8001 0.022867
5 3.131480 8001 0.025621
4 3.148320 8001 0.021452
3 3.143240 8001 0.018723
2 3.146320 8001 0.034714
1 3.150640 8001 0.003061
8 3.145800 8101 0.027871
7 3.145520 8101 0.026582
6 3.150520 8101 0.026228
5 3.129800 8101 0.023272
4 3.135880 8101 0.019854
3 3.128640 8101 0.023756
2 3.134480 8101 0.035980
1 3.143960 8101 0.002883
8 3.135360 8201 0.024361
7 3.140160 8201 0.027726
6 3.138000 8201 0.023429
5 3.148360 8201 0.026611
4 3.131880 8201 0.020628
3 3.135000 8201 0.023717
2 3.137960 8201 0.035558
1 3.139880 8201 0.003071
8 3.133920 8301 0.025512
7 3.139640 8301 0.030785
6 3.146000 8301 0.024495
5 3.137240 8301 0.023630
4 3.143640 8301 0.019158
3 3.138720 8301 0.022419
2 3.145720 8301 0.036992
1 3.145760 8301 0.003026
8 3.136040 8401 0.033800
7 3.133840 8401 0.026012
6 3.146560 8401 0.025041
5 3.138400 8401 0.025358
4 3.139520 8401 0.021092
3 3.134880 8401 0.021505
2 3.145160 8401 0.033843
1 3.142720 8401 0.002940
8 3.135160 8501 0.023531
7 3.142400 8501 0.028633
6 3.138480 8501 0.024108
5 3.137560 8501 0.026676
4 3.149840 8501 0.019478
3 3.153000 8501 0.019079
2 3.139640 8501 0.032323
1 3.136720 8501 0.003039
8 3.140200 8601 0.031150
7 3.138480 8601 0.025838
6 3.145080 8601 0.026212
5 3.150480 8601 0.025909
4 3.142400 8601 0.018628
3 3.147160 8601 0.022436
2 3.141160 8601 0.037287
1 3.138840 8601 0.003074
8 3.152080 8701 0.024748
7 3.133120 8701 0.025596
6 3.132920 8701 0.024563
5 3.153680 8701 0.021598
4 3.145320 8701 0.019416
3 3.137520 8701 0.016870
2 3.143240 8701 0.037317
1 3.140960 8701 0.002943
8 3.138840 8801 0.029609
7 3.144360 8801 0.024888
6 3.137000 8801 0.025762
5 3.143240 8801 0.022437
4 3.139280 8801 0.021241
3 3.135040 8801 0.022507
2 3.140920 8801 0.025913
1 3.139720 8801 0.003470
8 3.160640 8901 0.024549
7 3.141400 8901 0.029953
6 3.128320 8901 0.023088
5 3.143040 8901 0.024017
4 3.134240 8901 0.021038
3 3.138480 8901 0.021584
2 3.138080 8901 0.038479
1 3.145320 8901 0.003384
8 3.138640 9001 0.027391
7 3.142560 9001 0.023795
6 3.141880 9001 0.024847
5 3.140680 9001 0.024197
4 3.149880 9001 0.019253
3 3.135600 9001 0.015672
2 3.140960 9001 0.024904
1 3.141400 9001 0.002891
8 3.143680 9101 0.037696
7 3.147240 9101 0.027786
6 3.146120 9101 0.024566
5 3.149480 9101 0.021347
4 3.130720 9101 0.020879
3 3.144560 9101 0.021893
2 3.148680 9101 0.034079
1 3.144840 9101 0.002897
8 3.142240 9201 0.024242
7 3.131920 9201 0.023590
6 3.137200 9201 0.023256
5 3.140280 9201 0.023490
4 3.136720 9201 0.021415
3 3.144800 9201 0.023841
2 3.140280 9201 0.022106
1 3.143240 9201 0.003119
8 3.137520 9301 0.023279
7 3.143600 9301 0.022981
6 3.145240 9301 0.023649
5 3.138480 9301 0.022961
4 3.141280 9301 0.019096
3 3.134880 9301 0.020808
2 3.135960 9301 0.018521
1 3.148560 9301 0.003183
8 3.144720 9401 0.024367
7 3.151800 9401 0.031859
6 3.143400 9401 0.024066
5 3.139200 9401 0.023783
4 3.149560 9401 0.021378
3 3.147720 9401 0.021743
2 3.144960 9401 0.032443
1 3.140520 9401 0.002881
8 3.138400 9501 0.023268
7 3.135280 9501 0.023423
6 3.148240 9501 0.023411
5 3.140600 9501 0.026424
4 3.146920 9501 0.018528
3 3.143480 9501 0.018599
2 3.147520 9501 0.037324
1 3.149600 9501 0.002882
8 3.133880 9601 0.029270
7 3.137840 9601 0.025891
6 3.147320 9601 0.024722
5 3.149080 9601 0.023330
4 3.136120 9601 0.021737
3 3.144360 9601 0.021610
2 3.139200 9601 0.037619
1 3.144520 9601 0.003052
8 3.143040 9701 0.024777
7 3.144360 9701 0.032974
6 3.132040 9701 0.024501
5 3.134960 9701 0.023538
4 3.137280 9701 0.021668
3 3.147240 9701 0.019583
2 3.141520 9701 0.028622
1 3.144240 9701 0.003144
8 3.149160 9801 0.028447
7 3.139840 9801 0.029557
6 3.144840 9801 0.023223
5 3.146760 9801 0.023864
4 3.137560 9801 0.022066
3 3.141520 9801 0.021673
2 3.148360 9801 0.035314
1 3.139480 9801 0.002917
8 3.132680 9901 0.027739
7 3.142920 9901 0.023850
6 3.132880 9901 0.025223
5 3.136760 9901 0.021760
4 3.142800 9901 0.019001
3 3.143600 9901 0.016557
2 3.142560 9901 0.035684
1 3.149200 9901 0.002883
8 3.146360 10001 0.032480
7 3.144840 10001 0.025031
6 3.147720 10001 0.023423
5 3.140960 10001 0.022814
4 3.146880 10001 0.020240
3 3.139720 10001 0.016843
2 3.150320 10001 0.033699
1 3.135560 10001 0.003060
